"Data File","Setup Time","Position","Plate Type","Strain Type","Sample Number","Strain Name","Strain Number","Other","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"C:\Program Files\Biolog\OL_DC_23\PMX\Data_2019\03\_18-2852_Escherichia coli__2_37_PMX_438_3#1#2019_A_ 5B_9.oka",3/1/2019 3:23:47 PM," 5-B","PM02-A","---","","Escherichia coli","18-2852","",6.50,52.00,35.00,38.00,38.00,35.00,105.00,26.00,34.00,48.00,46.00,46.00,78.00,72.00,52.00,11.00,23.00,57.00,21.00,18.00,17.00,28.00,19.00,21.00,74.00,41.00,20.00,29.00,34.00,29.00,23.00,67.00,15.00,37.00,29.00,27.00,24.00,111.00,17.00,21.00,17.00,11.00,30.00,43.00,20.00,14.00,15.00,11.00,27.00,30.00,14.00,12.00,13.00,90.00,11.00,11.00,14.00,37.00,11.00,11.00,61.00,28.00,15.00,61.00,11.00,11.00,16.00,16.00,11.00,18.00,31.00,18.00,26.00,25.00,32.00,11.00,11.00,11.00,11.00,11.00,17.00,11.00,11.00,20.00,26.00,34.00,27.00,23.00,14.00,11.00,11.00,11.00,11.00,52.00,11.00,20.00,33.00
"C:\Program Files\Biolog\OL_DC_23\PMX\Data_2019\03\_18-2852_Escherichia coli__2_37_PMX_438_3#1#2019_A_ 5B_9.oka",3/1/2019 3:23:47 PM," 5-B","PM02-A","---","","Escherichia coli","18-2852","",6.75,56.00,37.00,40.00,39.00,36.00,107.00,28.00,32.00,47.00,45.00,47.00,77.00,73.00,56.00,14.00,25.00,58.00,21.00,18.00,17.00,29.00,17.00,20.00,75.00,44.00,22.00,30.00,31.00,32.00,25.00,69.00,16.00,40.00,29.00,25.00,23.00,119.00,15.00,23.00,19.00,14.00,32.00,45.00,19.00,14.00,14.00,11.00,27.00,29.00,16.00,15.00,13.00,97.00,11.00,11.00,15.00,36.00,11.00,11.00,62.00,33.00,18.00,59.00,13.00,11.00,15.00,17.00,11.00,16.00,32.00,15.00,26.00,28.00,36.00,14.00,12.00,11.00,11.00,11.00,16.00,11.00,11.00,18.00,26.00,38.00,32.00,24.00,19.00,11.00,11.00,11.00,14.00,51.00,11.00,19.00,33.00
"C:\Program Files\Biolog\OL_DC_23\PMX\Data_2019\03\_18-2852_Escherichia coli__2_37_PMX_438_3#1#2019_A_ 5B_9.oka",3/1/2019 3:23:47 PM," 5-B","PM02-A","---","","Escherichia coli","18-2852","",7.00,49.00,32.00,37.00,35.00,33.00,105.00,24.00,32.00,44.00,41.00,41.00,72.00,70.00,53.00,11.00,20.00,56.00,17.00,18.00,14.00,28.00,16.00,18.00,75.00,35.00,20.00,27.00,29.00,29.00,24.00,72.00,14.00,39.00,26.00,25.00,23.00,120.00,13.00,18.00,17.00,12.00,31.00,43.00,17.00,13.00,12.00,11.00,27.00,24.00,13.00,11.00,11.00,96.00,11.00,11.00,11.00,38.00,11.00,11.00,62.00,31.00,15.00,59.00,11.00,11.00,16.00,15.00,11.00,15.00,31.00,14.00,25.00,25.00,33.00,11.00,11.00,11.00,11.00,11.00,17.00,11.00,11.00,18.00,27.00,32.00,24.00,19.00,13.00,11.00,11.00,11.00,11.00,53.00,11.00,19.00,34.00
"C:\Program Files\Biolog\OL_DC_23\PMX\Data_2019\03\_18-2852_Escherichia coli__2_37_PMX_438_3#1#2019_A_ 5B_9.oka",3/1/2019 3:23:47 PM," 5-B","PM02-A","---","","Escherichia coli","18-2852","",7.25,53.00,38.00,40.00,40.00,37.00,107.00,26.00,34.00,46.00,43.00,46.00,77.00,76.00,57.00,12.00,22.00,56.00,21.00,19.00,18.00,29.00,15.00,22.00,78.00,43.00,21.00,28.00,30.00,31.00,24.00,71.00,15.00,45.00,27.00,24.00,26.00,128.00,15.00,23.00,20.00,12.00,33.00,45.00,20.00,13.00,13.00,11.00,26.00,30.00,14.00,14.00,12.00,100.00,11.00,11.00,12.00,40.00,11.00,11.00,63.00,37.00,16.00,58.00,11.00,11.00,15.00,15.00,11.00,16.00,31.00,15.00,26.00,28.00,33.00,12.00,11.00,11.00,11.00,11.00,16.00,11.00,11.00,18.00,22.00,35.00,25.00,23.00,16.00,11.00,11.00,11.00,11.00,53.00,11.00,20.00,33.00
"C:\Program Files\Biolog\OL_DC_23\PMX\Data_2019\03\_18-2852_Escherichia coli__2_37_PMX_438_3#1#2019_A_ 5B_9.oka",3/1/2019 3:23:47 PM," 5-B","PM02-A","---","","Escherichia coli","18-2852","",7.50,49.00,32.00,37.00,36.00,34.00,108.00,28.00,33.00,46.00,44.00,46.00,79.00,72.00,56.00,11.00,21.00,55.00,18.00,16.00,17.00,28.00,16.00,20.00,79.00,38.00,19.00,27.00,31.00,28.00,23.00,73.00,14.00,47.00,27.00,25.00,31.00,128.00,14.00,20.00,17.00,11.00,32.00,45.00,19.00,14.00,14.00,11.00,25.00,27.00,13.00,12.00,11.00,100.00,11.00,11.00,11.00,41.00,11.00,11.00,65.00,34.00,15.00,56.00,11.00,11.00,15.00,16.00,11.00,17.00,31.00,16.00,29.00,26.00,29.00,12.00,11.00,11.00,11.00,11.00,17.00,11.00,11.00,19.00,25.00,33.00,22.00,21.00,13.00,11.00,11.00,12.00,11.00,54.00,11.00,18.00,36.00
"C:\Program Files\Biolog\OL_DC_23\PMX\Data_2019\03\_18-2852_Escherichia coli__2_37_PMX_438_3#1#2019_A_ 5B_9.oka",3/1/2019 3:23:47 PM," 5-B","PM02-A","---","","Escherichia coli","18-2852","",7.75,55.00,38.00,41.00,40.00,37.00,111.00,26.00,34.00,48.00,46.00,46.00,79.00,76.00,61.00,13.00,23.00,58.00,20.00,18.00,17.00,32.00,18.00,23.00,81.00,42.00,22.00,30.00,33.00,31.00,25.00,79.00,14.00,50.00,27.00,28.00,36.00,135.00,16.00,21.00,20.00,12.00,33.00,46.00,21.00,14.00,16.00,12.00,29.00,29.00,14.00,15.00,12.00,106.00,11.00,11.00,13.00,42.00,11.00,11.00,64.00,39.00,17.00,57.00,13.00,12.00,15.00,18.00,11.00,18.00,34.00,17.00,26.00,29.00,34.00,13.00,11.00,11.00,11.00,11.00,17.00,11.00,11.00,20.00,26.00,37.00,23.00,23.00,16.00,11.00,11.00,11.00,11.00,55.00,11.00,20.00,35.00
"C:\Program Files\Biolog\OL_DC_23\PMX\Data_2019\03\_18-2852_Escherichia coli__2_37_PMX_438_3#1#2019_A_ 5B_9.oka",3/1/2019 3:23:47 PM," 5-B","PM02-A","---","","Escherichia coli","18-2852","",8.00,57.00,39.00,43.00,45.00,40.00,113.00,31.00,36.00,49.00,43.00,48.00,80.00,78.00,63.00,14.00,27.00,56.00,20.00,19.00,18.00,29.00,20.00,23.00,81.00,43.00,22.00,30.00,34.00,32.00,24.00,82.00,16.00,53.00,29.00,25.00,37.00,141.00,17.00,22.00,21.00,14.00,35.00,46.00,18.00,15.00,15.00,12.00,28.00,31.00,17.00,15.00,15.00,109.00,11.00,11.00,13.00,43.00,11.00,11.00,66.00,43.00,19.00,60.00,14.00,13.00,16.00,17.00,11.00,19.00,32.00,16.00,30.00,30.00,38.00,15.00,13.00,11.00,11.00,11.00,18.00,11.00,11.00,22.00,26.00,37.00,28.00,25.00,20.00,12.00,11.00,14.00,12.00,54.00,11.00,19.00,36.00
"C:\Program Files\Biolog\OL_DC_23\PMX\Data_2019\03\_18-2852_Escherichia coli__2_37_PMX_438_3#1#2019_A_ 5B_9.oka",3/1/2019 3:23:47 PM," 5-B","PM02-A","---","","Escherichia coli","18-2852","",8.25,56.00,37.00,39.00,39.00,39.00,114.00,27.00,35.00,48.00,44.00,48.00,79.00,77.00,65.00,13.00,24.00,58.00,20.00,19.00,19.00,31.00,18.00,21.00,83.00,42.00,22.00,30.00,33.00,31.00,25.00,86.00,15.00,57.00,31.00,27.00,42.00,144.00,16.00,23.00,21.00,14.00,34.00,49.00,21.00,16.00,16.00,12.00,28.00,29.00,15.00,13.00,16.00,112.00,11.00,11.00,14.00,46.00,11.00,11.00,66.00,43.00,16.00,60.00,11.00,12.00,16.00,18.00,11.00,19.00,34.00,19.00,28.00,27.00,35.00,12.00,11.00,11.00,11.00,11.00,20.00,11.00,11.00,22.00,26.00,37.00,22.00,23.00,17.00,12.00,11.00,11.00,12.00,57.00,11.00,22.00,36.00
"C:\Program Files\Biolog\OL_DC_23\PMX\Data_2019\03\_18-2852_Escherichia coli__2_37_PMX_438_3#1#2019_A_ 5B_9.oka",3/1/2019 3:23:47 PM," 5-B","PM02-A","---","","Escherichia coli","18-2852","",8.50,55.00,39.00,42.00,41.00,36.00,115.00,28.00,34.00,48.00,45.00,49.00,81.00,78.00,64.00,13.00,24.00,58.00,20.00,18.00,18.00,29.00,20.00,24.00,82.00,45.00,21.00,30.00,32.00,30.00,24.00,86.00,17.00,59.00,30.00,27.00,41.00,146.00,17.00,22.00,20.00,13.00,34.00,47.00,21.00,15.00,16.00,12.00,28.00,31.00,17.00,14.00,15.00,112.00,11.00,11.00,13.00,45.00,11.00,11.00,67.00,46.00,17.00,59.00,11.00,13.00,17.00,18.00,11.00,19.00,34.00,15.00,28.00,26.00,37.00,13.00,11.00,11.00,11.00,11.00,17.00,11.00,11.00,19.00,25.00,39.00,26.00,25.00,15.00,12.00,11.00,11.00,12.00,56.00,11.00,19.00,35.00
"C:\Program Files\Biolog\OL_DC_23\PMX\Data_2019\03\_18-2852_Escherichia coli__2_37_PMX_438_3#1#2019_A_ 5B_9.oka",3/1/2019 3:23:47 PM," 5-B","PM02-A","---","","Escherichia coli","18-2852","",8.75,52.00,36.00,40.00,39.00,35.00,116.00,29.00,35.00,49.00,45.00,49.00,79.00,78.00,67.00,14.00,22.00,57.00,20.00,19.00,18.00,29.00,19.00,22.00,84.00,42.00,22.00,30.00,31.00,31.00,24.00,89.00,17.00,62.00,30.00,27.00,45.00,149.00,15.00,21.00,18.00,11.00,32.00,47.00,21.00,14.00,16.00,13.00,30.00,29.00,14.00,12.00,13.00,115.00,11.00,11.00,12.00,48.00,11.00,11.00,68.00,45.00,15.00,59.00,12.00,11.00,17.00,18.00,11.00,19.00,35.00,17.00,27.00,23.00,34.00,13.00,12.00,11.00,11.00,11.00,17.00,11.00,11.00,22.00,27.00,35.00,20.00,23.00,15.00,11.00,11.00,12.00,12.00,59.00,11.00,22.00,35.00
"C:\Program Files\Biolog\OL_DC_23\PMX\Data_2019\03\_18-2852_Escherichia coli__2_37_PMX_438_3#1#2019_A_ 5B_9.oka",3/1/2019 3:23:47 PM," 5-B","PM02-A","---","","Escherichia coli","18-2852","",9.00,49.00,34.00,37.00,37.00,34.00,117.00,27.00,35.00,47.00,44.00,46.00,79.00,76.00,64.00,11.00,21.00,55.00,17.00,15.00,15.00,29.00,17.00,21.00,80.00,39.00,20.00,29.00,32.00,28.00,21.00,90.00,12.00,65.00,26.00,24.00,42.00,150.00,14.00,18.00,16.00,11.00,32.00,44.00,18.00,14.00,13.00,11.00,29.00,28.00,13.00,11.00,11.00,112.00,11.00,11.00,11.00,48.00,11.00,11.00,65.00,47.00,14.00,58.00,11.00,11.00,14.00,14.00,11.00,17.00,31.00,15.00,29.00,19.00,31.00,11.00,11.00,11.00,11.00,11.00,16.00,11.00,11.00,19.00,25.00,33.00,22.00,21.00,14.00,11.00,11.00,12.00,11.00,58.00,11.00,20.00,36.00
"C:\Program Files\Biolog\OL_DC_23\PMX\Data_2019\03\_18-2852_Escherichia coli__2_37_PMX_438_3#1#2019_A_ 5B_9.oka",3/1/2019 3:23:47 PM," 5-B","PM02-A","---","","Escherichia coli","18-2852","",9.25,50.00,37.00,38.00,38.00,34.00,119.00,28.00,34.00,47.00,45.00,46.00,79.00,78.00,67.00,11.00,21.00,55.00,21.00,18.00,16.00,29.00,18.00,21.00,81.00,39.00,22.00,29.00,32.00,29.00,22.00,95.00,13.00,68.00,28.00,26.00,45.00,154.00,15.00,19.00,19.00,11.00,32.00,46.00,19.00,13.00,15.00,11.00,29.00,28.00,15.00,11.00,12.00,118.00,11.00,11.00,12.00,48.00,11.00,11.00,64.00,49.00,16.00,59.00,11.00,12.00,14.00,15.00,11.00,18.00,30.00,16.00,26.00,21.00,33.00,11.00,11.00,11.00,11.00,11.00,16.00,11.00,11.00,19.00,24.00,35.00,22.00,22.00,14.00,11.00,11.00,11.00,11.00,59.00,11.00,19.00,33.00
"C:\Program Files\Biolog\OL_DC_23\PMX\Data_2019\03\_18-2852_Escherichia coli__2_37_PMX_438_3#1#2019_A_ 5B_9.oka",3/1/2019 3:23:47 PM," 5-B","PM02-A","---","","Escherichia coli","18-2852","",9.50,55.00,37.00,41.00,39.00,36.00,122.00,30.00,37.00,52.00,47.00,50.00,82.00,80.00,70.00,13.00,25.00,57.00,22.00,20.00,20.00,31.00,22.00,24.00,84.00,42.00,24.00,31.00,34.00,33.00,25.00,100.00,17.00,73.00,30.00,28.00,50.00,161.00,17.00,22.00,19.00,14.00,36.00,50.00,21.00,16.00,18.00,13.00,31.00,30.00,16.00,14.00,12.00,123.00,11.00,11.00,12.00,52.00,11.00,12.00,69.00,54.00,17.00,62.00,12.00,14.00,18.00,18.00,11.00,23.00,34.00,21.00,30.00,23.00,33.00,13.00,13.00,11.00,11.00,12.00,19.00,11.00,11.00,25.00,29.00,36.00,24.00,22.00,17.00,12.00,12.00,15.00,14.00,63.00,11.00,24.00,38.00
"C:\Program Files\Biolog\OL_DC_23\PMX\Data_2019\03\_18-2852_Escherichia coli__2_37_PMX_438_3#1#2019_A_ 5B_9.oka",3/1/2019 3:23:47 PM," 5-B","PM02-A","---","","Escherichia coli","18-2852","",9.75,54.00,40.00,42.00,42.00,38.00,120.00,29.00,36.00,48.00,44.00,48.00,82.00,82.00,73.00,16.00,24.00,59.00,21.00,18.00,19.00,29.00,20.00,22.00,85.00,42.00,23.00,32.00,33.00,31.00,26.00,104.00,17.00,74.00,28.00,26.00,47.00,163.00,17.00,21.00,21.00,13.00,35.00,49.00,21.00,14.00,16.00,13.00,30.00,31.00,18.00,15.00,15.00,123.00,11.00,11.00,13.00,53.00,11.00,11.00,70.00,57.00,18.00,62.00,13.00,12.00,16.00,20.00,11.00,21.00,35.00,17.00,29.00,23.00,37.00,14.00,13.00,12.00,11.00,11.00,17.00,11.00,11.00,20.00,27.00,37.00,27.00,25.00,20.00,12.00,11.00,13.00,12.00,63.00,11.00,18.00,36.00
"C:\Program Files\Biolog\OL_DC_23\PMX\Data_2019\03\_18-2852_Escherichia coli__2_37_PMX_438_3#1#2019_A_ 5B_9.oka",3/1/2019 3:23:47 PM," 5-B","PM02-A","---","","Escherichia coli","18-2852","",10.00,57.00,40.00,43.00,42.00,39.00,123.00,28.00,38.00,50.00,45.00,50.00,82.00,85.00,75.00,14.00,24.00,59.00,22.00,20.00,20.00,31.00,19.00,25.00,84.00,44.00,24.00,31.00,34.00,33.00,26.00,106.00,16.00,75.00,30.00,26.00,47.00,168.00,16.00,24.00,21.00,12.00,34.00,48.00,21.00,14.00,16.00,13.00,29.00,34.00,19.00,15.00,15.00,127.00,11.00,11.00,13.00,53.00,11.00,11.00,68.00,60.00,20.00,60.00,14.00,14.00,17.00,18.00,12.00,21.00,35.00,18.00,29.00,24.00,40.00,16.00,13.00,11.00,11.00,11.00,18.00,11.00,11.00,20.00,25.00,40.00,28.00,26.00,21.00,13.00,12.00,12.00,13.00,62.00,11.00,20.00,38.00
"C:\Program Files\Biolog\OL_DC_23\PMX\Data_2019\03\_18-2852_Escherichia coli__2_37_PMX_438_3#1#2019_A_ 5B_9.oka",3/1/2019 3:23:47 PM," 5-B","PM02-A","---","","Escherichia coli","18-2852","",10.25,57.00,38.00,43.00,44.00,38.00,123.00,29.00,36.00,48.00,46.00,51.00,83.00,81.00,76.00,17.00,24.00,60.00,22.00,21.00,20.00,33.00,20.00,22.00,86.00,44.00,23.00,31.00,34.00,30.00,25.00,110.00,18.00,80.00,29.00,29.00,48.00,168.00,18.00,23.00,21.00,15.00,35.00,50.00,21.00,15.00,17.00,14.00,29.00,32.00,19.00,13.00,14.00,127.00,11.00,11.00,13.00,55.00,11.00,11.00,69.00,60.00,17.00,60.00,12.00,14.00,18.00,19.00,12.00,22.00,36.00,17.00,26.00,23.00,37.00,14.00,13.00,11.00,11.00,11.00,19.00,11.00,11.00,21.00,27.00,40.00,27.00,26.00,18.00,12.00,11.00,12.00,12.00,65.00,11.00,22.00,37.00
"C:\Program Files\Biolog\OL_DC_23\PMX\Data_2019\03\_18-2852_Escherichia coli__2_37_PMX_438_3#1#2019_A_ 5B_9.oka",3/1/2019 3:23:47 PM," 5-B","PM02-A","---","","Escherichia coli","18-2852","",10.50,56.00,41.00,44.00,43.00,39.00,125.00,30.00,37.00,53.00,47.00,50.00,83.00,82.00,77.00,17.00,27.00,60.00,22.00,22.00,21.00,33.00,21.00,24.00,87.00,46.00,25.00,32.00,35.00,32.00,26.00,115.00,18.00,85.00,31.00,29.00,50.00,172.00,19.00,25.00,23.00,15.00,35.00,50.00,23.00,15.00,18.00,15.00,31.00,33.00,19.00,15.00,15.00,130.00,11.00,15.00,18.00,57.00,11.00,11.00,70.00,63.00,20.00,64.00,13.00,15.00,19.00,21.00,13.00,24.00,34.00,21.00,29.00,25.00,38.00,15.00,13.00,12.00,11.00,11.00,19.00,12.00,12.00,24.00,28.00,39.00,26.00,25.00,20.00,15.00,13.00,14.00,14.00,66.00,11.00,23.00,37.00
"C:\Program Files\Biolog\OL_DC_23\PMX\Data_2019\03\_18-2852_Escherichia coli__2_37_PMX_438_3#1#2019_A_ 5B_9.oka",3/1/2019 3:23:47 PM," 5-B","PM02-A","---","","Escherichia coli","18-2852","",10.75,57.00,43.00,44.00,43.00,40.00,127.00,31.00,36.00,49.00,46.00,50.00,83.00,85.00,79.00,17.00,28.00,59.00,22.00,22.00,19.00,31.00,19.00,24.00,87.00,45.00,24.00,32.00,36.00,34.00,26.00,116.00,17.00,86.00,29.00,27.00,48.00,177.00,21.00,24.00,21.00,15.00,36.00,51.00,21.00,17.00,17.00,13.00,31.00,32.00,20.00,15.00,14.00,134.00,11.00,13.00,15.00,59.00,11.00,11.00,72.00,66.00,19.00,63.00,15.00,16.00,19.00,20.00,13.00,23.00,35.00,19.00,30.00,27.00,40.00,15.00,13.00,12.00,11.00,11.00,20.00,13.00,13.00,22.00,25.00,40.00,28.00,27.00,20.00,13.00,13.00,14.00,14.00,66.00,11.00,21.00,37.00
"C:\Program Files\Biolog\OL_DC_23\PMX\Data_2019\03\_18-2852_Escherichia coli__2_37_PMX_438_3#1#2019_A_ 5B_9.oka",3/1/2019 3:23:47 PM," 5-B","PM02-A","---","","Escherichia coli","18-2852","",11.00,54.00,38.00,42.00,41.00,39.00,128.00,30.00,37.00,49.00,45.00,48.00,84.00,85.00,79.00,17.00,24.00,58.00,22.00,21.00,21.00,31.00,20.00,22.00,85.00,42.00,22.00,29.00,34.00,31.00,26.00,119.00,19.00,87.00,30.00,26.00,48.00,177.00,20.00,25.00,21.00,14.00,36.00,50.00,22.00,15.00,16.00,13.00,30.00,32.00,18.00,14.00,16.00,133.00,11.00,12.00,16.00,60.00,11.00,11.00,71.00,67.00,17.00,61.00,14.00,15.00,19.00,19.00,11.00,23.00,34.00,20.00,28.00,22.00,39.00,12.00,13.00,12.00,11.00,11.00,18.00,11.00,11.00,23.00,28.00,36.00,24.00,25.00,19.00,12.00,12.00,13.00,13.00,69.00,11.00,24.00,35.00
"C:\Program Files\Biolog\OL_DC_23\PMX\Data_2019\03\_18-2852_Escherichia coli__2_37_PMX_438_3#1#2019_A_ 5B_9.oka",3/1/2019 3:23:47 PM," 5-B","PM02-A","---","","Escherichia coli","18-2852","",11.25,55.00,37.00,43.00,42.00,39.00,132.00,28.00,37.00,50.00,46.00,49.00,82.00,84.00,78.00,15.00,26.00,58.00,22.00,22.00,21.00,32.00,19.00,21.00,85.00,43.00,25.00,31.00,35.00,31.00,25.00,122.00,17.00,91.00,32.00,28.00,49.00,181.00,19.00,23.00,21.00,14.00,37.00,49.00,21.00,17.00,17.00,14.00,29.00,34.00,18.00,15.00,14.00,136.00,11.00,11.00,15.00,62.00,11.00,11.00,71.00,68.00,18.00,63.00,13.00,14.00,18.00,19.00,12.00,23.00,36.00,18.00,30.00,23.00,37.00,13.00,13.00,12.00,11.00,12.00,19.00,12.00,12.00,22.00,26.00,37.00,26.00,25.00,18.00,11.00,12.00,14.00,14.00,71.00,12.00,21.00,37.00
"C:\Program Files\Biolog\OL_DC_23\PMX\Data_2019\03\_18-2852_Escherichia coli__2_37_PMX_438_3#1#2019_A_ 5B_9.oka",3/1/2019 3:23:47 PM," 5-B","PM02-A","---","","Escherichia coli","18-2852","",11.50,52.00,37.00,42.00,42.00,35.00,131.00,29.00,35.00,52.00,47.00,50.00,84.00,83.00,78.00,13.00,25.00,56.00,19.00,20.00,20.00,31.00,19.00,21.00,84.00,43.00,23.00,30.00,33.00,30.00,24.00,124.00,17.00,93.00,32.00,26.00,48.00,181.00,18.00,22.00,20.00,13.00,35.00,48.00,20.00,16.00,15.00,14.00,29.00,31.00,16.00,15.00,14.00,135.00,11.00,11.00,13.00,61.00,11.00,11.00,71.00,69.00,17.00,61.00,11.00,14.00,17.00,17.00,12.00,23.00,35.00,19.00,28.00,20.00,35.00,13.00,13.00,12.00,11.00,11.00,19.00,11.00,11.00,23.00,27.00,36.00,24.00,21.00,18.00,12.00,11.00,14.00,13.00,74.00,11.00,23.00,37.00
"C:\Program Files\Biolog\OL_DC_23\PMX\Data_2019\03\_18-2852_Escherichia coli__2_37_PMX_438_3#1#2019_A_ 5B_9.oka",3/1/2019 3:23:47 PM," 5-B","PM02-A","---","","Escherichia coli","18-2852","",11.75,58.00,40.00,42.00,43.00,38.00,133.00,27.00,36.00,47.00,41.00,47.00,78.00,87.00,83.00,16.00,25.00,59.00,21.00,19.00,17.00,31.00,18.00,22.00,84.00,46.00,25.00,31.00,35.00,35.00,24.00,128.00,16.00,93.00,28.00,26.00,45.00,188.00,20.00,26.00,23.00,15.00,37.00,51.00,19.00,15.00,14.00,13.00,26.00,34.00,24.00,17.00,17.00,140.00,11.00,11.00,14.00,60.00,11.00,11.00,70.00,77.00,24.00,64.00,18.00,19.00,18.00,18.00,12.00,22.00,35.00,18.00,30.00,32.00,43.00,18.00,18.00,14.00,11.00,11.00,19.00,12.00,11.00,20.00,25.00,47.00,36.00,31.00,28.00,15.00,15.00,14.00,14.00,73.00,12.00,20.00,34.00
"C:\Program Files\Biolog\OL_DC_23\PMX\Data_2019\03\_18-2852_Escherichia coli__2_37_PMX_438_3#1#2019_A_ 5B_9.oka",3/1/2019 3:23:47 PM," 5-B","PM02-A","---","","Escherichia coli","18-2852","",12.00,53.00,38.00,39.00,39.00,37.00,134.00,26.00,37.00,50.00,45.00,48.00,81.00,83.00,81.00,14.00,23.00,58.00,19.00,19.00,17.00,31.00,20.00,21.00,84.00,41.00,23.00,30.00,32.00,32.00,25.00,128.00,17.00,99.00,29.00,26.00,46.00,188.00,18.00,21.00,21.00,12.00,36.00,49.00,21.00,15.00,17.00,11.00,28.00,31.00,16.00,14.00,12.00,139.00,11.00,11.00,13.00,60.00,11.00,11.00,68.00,75.00,15.00,61.00,12.00,13.00,16.00,18.00,12.00,22.00,35.00,19.00,28.00,21.00,33.00,14.00,13.00,12.00,11.00,11.00,17.00,11.00,11.00,19.00,24.00,35.00,22.00,22.00,17.00,11.00,11.00,12.00,13.00,73.00,11.00,23.00,35.00
"C:\Program Files\Biolog\OL_DC_23\PMX\Data_2019\03\_18-2852_Escherichia coli__2_37_PMX_438_3#1#2019_A_ 5B_9.oka",3/1/2019 3:23:47 PM," 5-B","PM02-A","---","","Escherichia coli","18-2852","",12.25,57.00,41.00,43.00,43.00,39.00,135.00,28.00,37.00,52.00,47.00,50.00,83.00,87.00,85.00,18.00,27.00,60.00,24.00,22.00,22.00,34.00,24.00,24.00,86.00,45.00,27.00,31.00,36.00,35.00,26.00,134.00,18.00,100.00,30.00,28.00,50.00,191.00,21.00,24.00,24.00,15.00,38.00,52.00,22.00,17.00,18.00,13.00,29.00,33.00,19.00,17.00,16.00,144.00,11.00,14.00,15.00,64.00,11.00,11.00,71.00,75.00,19.00,63.00,14.00,17.00,19.00,20.00,13.00,23.00,36.00,23.00,29.00,26.00,39.00,16.00,15.00,13.00,12.00,12.00,20.00,14.00,13.00,24.00,27.00,37.00,27.00,25.00,22.00,13.00,11.00,14.00,14.00,76.00,13.00,24.00,37.00
"C:\Program Files\Biolog\OL_DC_23\PMX\Data_2019\03\_18-2852_Escherichia coli__2_37_PMX_438_3#1#2019_A_ 5B_9.oka",3/1/2019 3:23:47 PM," 5-B","PM02-A","---","","Escherichia coli","18-2852","",12.50,54.00,35.00,41.00,41.00,35.00,137.00,29.00,38.00,51.00,46.00,50.00,83.00,85.00,84.00,14.00,25.00,58.00,21.00,20.00,20.00,32.00,21.00,24.00,86.00,40.00,23.00,30.00,32.00,33.00,25.00,133.00,18.00,104.00,32.00,30.00,47.00,193.00,17.00,22.00,20.00,16.00,37.00,49.00,23.00,16.00,18.00,14.00,31.00,33.00,17.00,14.00,14.00,143.00,11.00,12.00,17.00,69.00,11.00,11.00,74.00,78.00,18.00,62.00,14.00,15.00,19.00,18.00,12.00,23.00,35.00,21.00,28.00,23.00,36.00,14.00,14.00,16.00,13.00,11.00,19.00,14.00,11.00,25.00,27.00,37.00,28.00,24.00,19.00,11.00,12.00,13.00,13.00,79.00,15.00,24.00,37.00
"C:\Program Files\Biolog\OL_DC_23\PMX\Data_2019\03\_18-2852_Escherichia coli__2_37_PMX_438_3#1#2019_A_ 5B_9.oka",3/1/2019 3:23:47 PM," 5-B","PM02-A","---","","Escherichia coli","18-2852","",12.75,56.00,39.00,44.00,44.00,41.00,138.00,29.00,39.00,51.00,47.00,49.00,84.00,88.00,89.00,18.00,26.00,59.00,23.00,23.00,21.00,33.00,22.00,23.00,89.00,45.00,25.00,32.00,34.00,34.00,26.00,139.00,18.00,106.00,32.00,28.00,50.00,198.00,19.00,26.00,24.00,15.00,38.00,51.00,23.00,16.00,19.00,14.00,32.00,34.00,17.00,16.00,15.00,147.00,11.00,12.00,16.00,66.00,11.00,11.00,73.00,81.00,17.00,62.00,14.00,15.00,19.00,21.00,12.00,24.00,36.00,20.00,29.00,23.00,38.00,16.00,13.00,13.00,11.00,11.00,19.00,11.00,12.00,23.00,28.00,38.00,25.00,26.00,21.00,13.00,14.00,13.00,13.00,79.00,13.00,26.00,35.00
